,query,museum_id,museum_name,rel
32,Impressionist art,2386,Dennos Museum Center,2
33,Impressionist art,2912,Tippet Rise Art Center,2
34,Impressionist art,382,Kirkland Museum of Fine & Decorative Art,2
35,Impressionist art,3672,Bechtler Museum of Modern Art,3
36,Impressionist art,809,Maitland Art Center,2
37,Impressionist art,2153,Clark Art Institute,5
38,Impressionist art,5478,S. Dillon Ripley Center,2
39,Impressionist art,4785,Utah Museum of Contemporary Art,2
40,Impressionist art,4607,Art Museum of the University of Memphis,2
41,Impressionist art,4129,Philbrook Museum of Art,3
42,Impressionist art,2679,Minnesota Museum of American Art,2
43,Impressionist art,1106,Boise Art Museum,2
44,Impressionist art,1482,Raclin Murphy Museum of Art,2
45,Impressionist art,342,Aspen Art Museum,3
46,Impressionist art,807,Lowe Art Museum,2
47,Impressionist art,2678,Minnesota Marine Art Museum,2
48,Impressionist art,885,Pérez Art Museum Miami,2
49,Impressionist art,5480,Smithsonian American Art Museum,4
50,Impressionist art,3606,Stone Quarry Hill Art Park,1
51,Impressionist art,2849,Mildred Lane Kemper Art Museum,3
52,Impressionist art,2859,Museum of Art and Archaeology,2
53,Impressionist art,1431,Indianapolis Art Center,2
54,Impressionist art,2178,Fitchburg Art Museum,2
55,Impressionist art,965,Athens Institute for Contemporary Art,2
56,Impressionist art,3343,Castellani Art Museum,2
57,Impressionist art,5691,Seattle Art Museum,4
58,Impressionist art,3381,Fenimore Art Museum,2
59,Impressionist art,2771,Meridian Museum of Art,2
60,Impressionist art,1025,Lamar Dodd School of Art Galleries,2
61,Impressionist art,5415,Wright Museum of Art,2
62,Impressionist art,653,Boca Raton Museum of Art,3
63,Impressionist art,2286,Peabody Essex Museum,3
64,Impressionist art,5684,Henry Art Gallery,2
65,Impressionist art,960,Albany Museum of Art,2
66,Impressionist art,3732,Hickory Museum of Art,2
67,Impressionist art,3155,Museum of Russian Art,1
68,Impressionist art,3564,Rochester Contemporary Art Center,2
69,Impressionist art,3276,Roswell Museum,2
70,Impressionist art,2567,American Museum of Asmat Art,1
71,Impressionist art,3326,Buffalo AKG Art Museum,4
72,Impressionist art,3260,Museum of International Folk Art,2
73,Impressionist art,1028,Madison Museum of Fine Art,2
74,Impressionist art,4206,Erie Art Museum,2
75,Impressionist art,1350,William and Florence Schmidt Art Center,2
76,Impressionist art,3150,Montclair Art Museum,3
77,Impressionist art,844,Museum of Contemporary Art Jacksonville,2
78,Impressionist art,1877,Zigler Art Museum,1
79,Impressionist art,1506,Swope Art Museum,2
80,Impressionist art,647,Bass Museum of Art,2
81,Impressionist art,4117,Oklahoma City Museum of Art,3
82,Impressionist art,3177,Princeton University Art Museum,4
83,Impressionist art,5170,Tacoma Art Museum,3
84,Impressionist art,2017,David C. Driskell Center for the Study of the Visual Arts and Culture of African Americans and the African Diaspora,2
85,Impressionist art,2260,Museum of Bad Art,1
86,Impressionist art,5279,Chazen Museum of Art,3
87,Impressionist art,1089,John Young Museum of Art,2
88,Impressionist art,5278,Charles Allis Art Museum,2
89,Impressionist art,434,Western Colorado Center for the Arts,2
90,Impressionist art,1462,Midwest Museum of American Art,2
91,Impressionist art,1696,Spencer Museum of Art,2
92,Impressionist art,1134,Art Institute of Chicago,5
93,Impressionist art,5050,Taubman Museum of Art,2
94,Impressionist art,4154,Abington Art Center,2
95,Impressionist art,2247,McMullen Museum of Art,3
96,Impressionist art,4914,Fralin Museum of Art,2
97,Impressionist art,1788,Speed Art Museum,3
98,Impressionist art,3002,Currier Museum of Art,3
99,Impressionist art,1056,SCAD Museum of Art,2
100,Impressionist art,733,Foosaner Art Museum,2
101,Impressionist art,4767,Nora Eccles Harrison Museum of Art,2
102,Impressionist art,1289,National Veterans Art Museum,1
103,Impressionist art,1952,Ogunquit Museum of American Art,3
104,Impressionist art,1543,Dubuque Museum of Art,2
105,Impressionist art,1888,Bowdoin College Museum of Art,3
106,Impressionist art,4041,Richard Ross Museum of Art,2
107,Impressionist art,441,Aldrich Contemporary Art Museum,2
108,Impressionist art,5509,Atlanta Contemporary Art Center,2
109,Impressionist art,4841,Abby Aldrich Rockefeller Folk Art Museum,2
110,Impressionist art,1084,Honolulu Museum of Art,2
111,Impressionist art,3122,Hunterdon Art Museum,2
112,Impressionist art,3391,Frances Lehman Loeb Art Center,3
113,Impressionist art,166,Phoenix Art Museum,4
114,Impressionist art,3311,Art Museum at SUNY Potsdam,2
115,Impressionist art,3774,Mint Museum Uptown,3
116,Impressionist art,637,Appleton Museum of Art,2
117,Impressionist art,361,Denver Art Museum,4
118,Impressionist art,5103,Cascadia Art Museum,2
119,Impressionist art,1382,David Owsley Museum of Art,3
0,instruments from all around the world,5710,National World War I Museum and Memorial,1
1,instruments from all around the world,3528,Niagara Science Museum,1
2,instruments from all around the world,897,Ripley's Believe It or Not! Museum,1
3,instruments from all around the world,981,Congregation Mickve Israel,1
4,instruments from all around the world,1987,Willowbrook Museum Village,1
5,instruments from all around the world,1197,Field Museum of Natural History,1
6,instruments from all around the world,1856,Nottoway Plantation,1
7,instruments from all around the world,4203,Eldred World War II Museum,1
8,instruments from all around the world,2530,Stearns Collection of Musical Instruments,5
9,instruments from all around the world,2159,Concord Museum,1
10,instruments from all around the world,3504,National Baseball Hall of Fame and Museum,1
11,instruments from all around the world,3801,North Carolina Maritime Museum at Southport,1
12,instruments from all around the world,1095,Onizuka Center for International Astronomy,1
13,instruments from all around the world,4556,U.S. Army Chaplain Museum,1
14,instruments from all around the world,5077,Virginia War Museum,1
15,instruments from all around the world,1479,Purdue University Galleries,1
16,instruments from all around the world,1864,Poverty Point State Historic Site,1
17,instruments from all around the world,2401,Flint Children's Museum,1
18,instruments from all around the world,2914,Ursuline Center Heritage Museum,1
19,instruments from all around the world,5656,"Museum of Fine Arts, Boston",1
20,instruments from all around the world,4135,Roger Miller Museum,2
21,instruments from all around the world,3802,North Carolina Maritime Museum on Roanoke Island,1
22,instruments from all around the world,5145,Museum of Flight,1
23,instruments from all around the world,5483,United States Holocaust Memorial Museum,1
24,instruments from all around the world,2538,Ukrainian American Archives and Museum of Detroit,2
25,instruments from all around the world,5025,Ripley's Believe It or Not!,1
26,instruments from all around the world,172,Rex Allen Arizona Cowboy Museum and Willcox Cowboy Hall of Fame,1
27,instruments from all around the world,1306,Pritzker Military Museum & Library,1
28,instruments from all around the world,805,Lightner Museum,1
29,instruments from all around the world,2066,National Museum of Health and Medicine,1
30,instruments from all around the world,726,Florida Museum of Natural History,1
31,instruments from all around the world,3978,Heritage Village Museum,1
32,instruments from all around the world,3616,Tang Teaching Museum,1
33,instruments from all around the world,2709,Schubert Club Museum of Musical Instruments,4
34,instruments from all around the world,2135,Blue Hill Observatory & Science Center,1
35,instruments from all around the world,4722,Vanderbilt University Galleries,1
36,instruments from all around the world,5545,Cradle of Aviation Museum,1
37,instruments from all around the world,1283,National Hellenic Museum,1
38,instruments from all around the world,4150,Woody Guthrie Center,3
39,instruments from all around the world,115,Arizona Commemorative Air Force Museum,1
40,instruments from all around the world,1723,Constitution Square Historic Site,1
41,instruments from all around the world,2287,Peabody Museum of Archaeology and Ethnology,1
42,instruments from all around the world,4749,Daughters of Utah Pioneers Museum and Log Cabin,1
43,instruments from all around the world,1134,Art Institute of Chicago,1
44,instruments from all around the world,75,Vulcan Statue and Vulcan Park,1
45,instruments from all around the world,776,IGFA Fishing Hall of Fame & Museum,1
46,instruments from all around the world,2649,James J. Fiorentino Museum,1
47,instruments from all around the world,5308,House on the Rock,1
48,instruments from all around the world,3095,Ellis Island,1
49,instruments from all around the world,798,Lake Worth Historical Museum,1
50,instruments from all around the world,4416,Fort Adams,1
51,instruments from all around the world,2575,The Bakken,1
52,instruments from all around the world,5032,Science Museum of Virginia,1
53,instruments from all around the world,5086,William King Museum of Art,1
54,instruments from all around the world,5443,Library of Congress,1
55,instruments from all around the world,2124,Battleship Cove,1
56,instruments from all around the world,2250,Memorial Hall Museum,1
57,instruments from all around the world,3800,North Carolina Maritime Museum,1
58,instruments from all around the world,160,Musical Instrument Museum,5
59,instruments from all around the world,1335,Ukrainian National Museum,2
60,instruments from all around the world,3151,Morris Museum,1
61,instruments from all around the world,1087,Jaggar Museum,1
62,instruments from all around the world,2316,Springfield Science Museum,1
63,instruments from all around the world,5674,Bill & Melinda Gates Foundation Visitor Center,1
64,instruments from all around the world,4543,Ripley's Believe It or Not!,1
65,instruments from all around the world,148,Kitt Peak National Observatory,1
66,instruments from all around the world,2753,Delta Blues Museum,2
67,instruments from all around the world,654,Bok Tower Gardens,1
68,instruments from all around the world,1448,Louis J. Koch Family Children's Museum of Evansville,1
69,instruments from all around the world,2701,Redwood County Museum,1
70,instruments from all around the world,4549,Sigal Music Museum,4
71,instruments from all around the world,4675,Memphis Rock N' Soul Museum,2
72,instruments from all around the world,4630,Country Music Hall of Fame and Museum,3
73,instruments from all around the world,1652,Fort Riley Museums,1
74,instruments from all around the world,1601,Salisbury House,1
75,instruments from all around the world,4,Alabama Jazz Hall of Fame,1
76,instruments from all around the world,4806,Fairbanks Museum and Planetarium,1
77,instruments from all around the world,1754,Kentucky Museum,1
78,instruments from all around the world,1843,Louisiana State Cotton Museum,1
79,instruments from all around the world,5042,Stabler-Leadbeater Apothecary Museum,1
80,instruments from all around the world,4654,Guinness World Records,1
81,instruments from all around the world,4830,Shelburne Museum,1
82,instruments from all around the world,2619,Gallery of Wood Art,1
83,instruments from all around the world,5459,National Museum of American History,2
84,instruments from all around the world,4246,Hershey's Chocolate World,1
85,instruments from all around the world,4195,DeBence Antique Music World,3
86,instruments from all around the world,2511,University of Michigan School of Art & Design Galleries,1
87,instruments from all around the world,1126,Adler Planetarium,1
88,instruments from all around the world,1684,Museum of World Treasures,2
89,instruments from all around the world,1275,Money Museum,1
90,instruments from all around the world,5019,Ralph Stanley Museum,2
91,instruments from all around the world,3786,Museum of Anthropology at Wake Forest University,1
92,instruments from all around the world,4800,Bread and Puppet Museum,1
93,instruments from all around the world,955,World Golf Hall of Fame,1
94,instruments from all around the world,4281,Martin Guitar Museum,3
95,instruments from all around the world,3925,Bowling Green State University Fine Art Galleries,1
96,instruments from all around the world,1875,USS Kidd & Veterans Memorial,1
97,instruments from all around the world,1738,Frazier History Museum,1
98,instruments from all around the world,1177,Draewell Gallery at Judson University,1
99,instruments from all around the world,438,World Figure Skating Museum and Hall of Fame,1
0,pop culture,1329,Star Worlds Arcade,3
1,pop culture,924,Stephen Foster Folk Culture Center State Park,1
2,pop culture,2716,SMSU Museum of Indigenous Americans,1
3,pop culture,3447,Jay Heritage Center,1
4,pop culture,2388,Detroit Institute of Arts,2
5,pop culture,53,Moundville Archaeological Park,1
6,pop culture,4755,Fremont Indian State Park and Museum,1
7,pop culture,3925,Bowling Green State University Fine Art Galleries,1
8,pop culture,1326,Southern Illinois University Edwardsville ADW Gallery,1
9,pop culture,2800,Winterville Mounds and Museum,1
10,pop culture,3263,National Hispanic Cultural Center,3
11,pop culture,823,Mennello Museum of American Art,1
12,pop culture,4046,Serpent Mound,1
13,pop culture,2713,Sinclair Lewis Boyhood Home,1
14,pop culture,2952,Joslyn Art Museum,1
15,pop culture,3303,Albany Center Gallery,1
16,pop culture,3264,National Museum of Nuclear Science & History,1
17,pop culture,1371,Carnegie Museum of Montgomery County,1
18,pop culture,2411,Gerald R. Ford Presidential Museum,1
19,pop culture,2509,Richard and Jane Manoogian Mackinac Art Museum,1
20,pop culture,5686,Museum of Museums,2
21,pop culture,1150,Cahokia Mounds State Historic Site,1
22,pop culture,5646,"Institute of Contemporary Art, Boston",2
23,pop culture,4650,Graceland,4
24,pop culture,5456,National Law Enforcement Museum,2
25,pop culture,5464,National Museum of Women in the Arts,1
26,pop culture,705,Dunedin History Museum,2
27,pop culture,3216,Zimmerli Art Museum,2
28,pop culture,1738,Frazier History Museum,2
29,pop culture,390,Mesa Verde National Park,1
30,pop culture,3725,Harvey B. Gantt Center,1
31,pop culture,1134,Art Institute of Chicago,2
32,pop culture,990,Etowah Indian Mounds,1
33,pop culture,3177,Princeton University Art Museum,1
34,pop culture,361,Denver Art Museum,2
35,pop culture,2718,Spam Museum,4
36,pop culture,2687,National Eagle Center,1
37,pop culture,1462,Midwest Museum of American Art,2
38,pop culture,1521,American Gothic House,1
39,pop culture,1434,Indianapolis Museum of Art,2
40,pop culture,2671,Minneapolis College of Art and Design Galleries,1
41,pop culture,5285,Copper Culture State Park,1
42,pop culture,1290,Newberry Library,1
43,pop culture,2867,Ralph Foster Museum,1
44,pop culture,291,Crocker Art Museum,1
45,pop culture,3241,Explora,2
46,pop culture,5435,Hirshhorn Museum and Sculpture Garden,2
47,pop culture,5711,Negro Leagues Baseball Museum,3
48,pop culture,2717,SMSU Natural History Museum,1
49,pop culture,1800,Wickliffe Mounds,1
50,pop culture,1809,Baton Rouge Gallery,1
51,pop culture,5416,American University Museum,1
52,pop culture,743,Fort Walton Beach Heritage Park & Cultural Center,1
53,pop culture,4737,Bountiful Davis Art Center,1
54,pop culture,2471,Michigan Science Center,1
55,pop culture,5457,National Museum of African American History and Culture,3
56,pop culture,3560,Robert Green Ingersoll Birthplace Museum,1
57,pop culture,2705,Rourke Art Museum,1
58,pop culture,3911,Akron Art Museum,1
0,museums are located on the university campuses,1424,Indiana Medical History Museum,3
1,museums are located on the university campuses,1008,Gertrude Herbert Institute of Art,1
2,museums are located on the university campuses,3487,Memorial Art Gallery,5
3,museums are located on the university campuses,3076,Brick Academy,1
4,museums are located on the university campuses,364,Dinosaur Journey Museum,1
5,museums are located on the university campuses,2961,Museum of Nebraska Art,5
6,museums are located on the university campuses,3246,Georgia O'Keeffe Museum,2
7,museums are located on the university campuses,1790,Thomas Merton Center,2
8,museums are located on the university campuses,2314,Smith College Museum of Art,3
9,museums are located on the university campuses,4581,National Music Museum,5
10,museums are located on the university campuses,1001,Georgia Radio Museum and Hall of Fame,3
11,museums are located on the university campuses,2462,Marshall M. Fredericks Sculpture Museum,5
12,museums are located on the university campuses,330,Tahoe Maritime Museum,1
13,museums are located on the university campuses,2007,"Center for Art, Design and Visual Culture",5
14,museums are located on the university campuses,527,Mystic Seaport,1
15,museums are located on the university campuses,588,Yale Center for British Art,5
16,museums are located on the university campuses,2388,Detroit Institute of Arts,1
17,museums are located on the university campuses,1113,Hagerman Fossil Beds National Monument,1
18,museums are located on the university campuses,1850,Meadows Museum of Art,5
19,museums are located on the university campuses,4551,South Carolina Confederate Relic Room & Military Museum,1
20,museums are located on the university campuses,3786,Museum of Anthropology at Wake Forest University,4
21,museums are located on the university campuses,369,El Pueblo History Museum,1
22,museums are located on the university campuses,2946,Great Plains Black History Museum,1
23,museums are located on the university campuses,4106,Mabee-Gerrer Museum of Art,1
24,museums are located on the university campuses,4983,Moses Myers House,1
25,museums are located on the university campuses,1677,Marianna Kistler Beach Museum of Art,5
26,museums are located on the university campuses,432,Vintage Aero Flying Museum,1
27,museums are located on the university campuses,2325,Wenham Museum,1
28,museums are located on the university campuses,371,Fiske Planetarium,5
29,museums are located on the university campuses,3806,North Carolina Museum of Natural Sciences at Whiteville,1
30,museums are located on the university campuses,2392,Eagle Harbor Lighthouse and Museums,1
31,museums are located on the university campuses,841,Museum of Art Fort Lauderdale,3
32,museums are located on the university campuses,4690,Pink Palace Museum and Planetarium,1
33,museums are located on the university campuses,1479,Purdue University Galleries,5
34,museums are located on the university campuses,1652,Fort Riley Museums,1
35,museums are located on the university campuses,3518,Neuberger Museum of Art,5
36,museums are located on the university campuses,3257,Maxwell Museum of Anthropology,5
37,museums are located on the university campuses,5447,Museum of the Bible,1
38,museums are located on the university campuses,2197,Harvard Museum of Natural History,5
39,museums are located on the university campuses,3895,North Dakota Museum of Art,5
40,museums are located on the university campuses,1322,Smart Museum of Art,5
41,museums are located on the university campuses,2286,Peabody Essex Museum,1
42,museums are located on the university campuses,2247,McMullen Museum of Art,5
43,museums are located on the university campuses,1979,University of Maine Museum of Art,5
44,museums are located on the university campuses,1641,Dalton Gang Hideout and Museum,1
45,museums are located on the university campuses,4786,Utah Museum of Fine Arts,5
46,museums are located on the university campuses,1420,Indiana Dinosaur Museum,3
47,museums are located on the university campuses,3868,Fargo Air Museum,1
48,museums are located on the university campuses,4097,Fred Jones Jr. Museum of Art,5
49,museums are located on the university campuses,4080,Cherokee Strip Regional Heritage Center,1
50,museums are located on the university campuses,3191,Silas Riggs House,1
51,museums are located on the university campuses,1874,Tangipahoa African American Heritage Museum,2
52,museums are located on the university campuses,3265,National Scouting Museum,1
53,museums are located on the university campuses,5608,Center for PostNatural History,2
54,museums are located on the university campuses,1003,Georgia Southern University Center for Art and Theatre,5
55,museums are located on the university campuses,2111,Addison Gallery of American Art,5
56,museums are located on the university campuses,4485,Clemson Area African American Museum,1
57,museums are located on the university campuses,4914,Fralin Museum of Art,5
58,museums are located on the university campuses,1117,Idaho Museum of Natural History,5
59,museums are located on the university campuses,1248,Krannert Art Museum,5
60,museums are located on the university campuses,1583,National Czech & Slovak Museum & Library,1
61,museums are located on the university campuses,5644,Harbor Gallery at University of Massachusetts Boston,5
62,museums are located on the university campuses,2260,Museum of Bad Art,3
63,museums are located on the university campuses,59,Old Courthouse Museum,1
64,museums are located on the university campuses,3586,Sciencenter,1
65,museums are located on the university campuses,4,Alabama Jazz Hall of Fame,2
66,museums are located on the university campuses,619,"Winterthur Museum, Garden and Library",2
67,museums are located on the university campuses,2943,Genoa U.S. Indian School Museum,1
68,museums are located on the university campuses,3650,Yager Museum of Art & Culture,3
69,museums are located on the university campuses,953,Wolfsonian-FIU,3
70,museums are located on the university campuses,4253,Houdini Museum,1
71,museums are located on the university campuses,2419,Grand Valley State University Art Galleries,5
72,museums are located on the university campuses,1328,Spurlock Museum,5
73,museums are located on the university campuses,1395,Fort Wayne Museum of Art,3
74,museums are located on the university campuses,3240,Ernie Pyle House/Library,1
75,museums are located on the university campuses,5475,Rubell Museum DC,1
76,museums are located on the university campuses,347,Buell Children's Museum,1
77,museums are located on the university campuses,2304,Rose Art Museum,5
78,museums are located on the university campuses,3269,New Mexico Museum of Art,2
79,museums are located on the university campuses,220,Crystal Bridges Museum of American Art,1
80,museums are located on the university campuses,5055,University of Virginia Galleries,5
81,museums are located on the university campuses,5686,Museum of Museums,1
82,museums are located on the university campuses,2472,Michigan State University Bug House,5
83,museums are located on the university campuses,4607,Art Museum of the University of Memphis,5
84,museums are located on the university campuses,5531,Michael C. Carlos Museum,5
85,museums are located on the university campuses,414,Plains Conservation Center,1
86,museums are located on the university campuses,4722,Vanderbilt University Galleries,5
87,museums are located on the university campuses,5,Alabama Museum of Natural History,5
88,museums are located on the university campuses,53,Moundville Archaeological Park,2
89,museums are located on the university campuses,904,Samuel P. Harn Museum of Art,5
90,museums are located on the university campuses,1382,David Owsley Museum of Art,5
91,museums are located on the university campuses,940,University of South Florida Contemporary Art Museum,5
92,museums are located on the university campuses,1556,Grout Museum,1
93,museums are located on the university campuses,123,Center for Creative Photography,5
94,museums are located on the university campuses,335,Wells Fargo History Museum,1
95,museums are located on the university campuses,2495,Pewabic Pottery,3
96,museums are located on the university campuses,60,Paul W. Bryant Museum,5
97,museums are located on the university campuses,589,Yale University Art Gallery,5
98,museums are located on the university campuses,4995,Norfolk History Museum at the Willoughby-Baylor House,1
99,museums are located on the university campuses,4464,Tomaquag Indian Memorial Museum,1
100,museums are located on the university campuses,3212,Wicoff House Museum,1
101,museums are located on the university campuses,1056,SCAD Museum of Art,5
102,museums are located on the university campuses,4009,National Afro-American Museum and Cultural Center,1
103,museums are located on the university campuses,618,University Gallery,5
104,museums are located on the university campuses,2540,University of Michigan Museum of Natural History,5
105,museums are located on the university campuses,4488,Columbia Museum of Art,2
106,museums are located on the university campuses,4890,Chrysler Museum of Art,3
107,museums are located on the university campuses,2523,Sindecuse Museum of Dentistry,3
108,museums are located on the university campuses,899,Rubell Museum,1
109,museums are located on the university campuses,3849,Weatherspoon Art Museum,5
110,museums are located on the university campuses,3804,North Carolina Museum of History,1
111,museums are located on the university campuses,5607,Carnegie Museum of Natural History,2
112,museums are located on the university campuses,2539,University of Michigan Museum of Art,5
113,museums are located on the university campuses,1170,David Adler Music and Arts Center,2
114,museums are located on the university campuses,3250,Harwood Museum of Art,1
115,museums are located on the university campuses,999,Georgia Museum of Art,5
116,museums are located on the university campuses,2985,University of Nebraska State Museum,5
117,museums are located on the university campuses,1323,Sousa Archives and Center for American Music,5
118,museums are located on the university campuses,1639,Combat Air Museum,1
119,museums are located on the university campuses,5454,National Gallery of Art,1
0,museums in the east coast,524,Museum of Connecticut Glass,3
1,museums in the east coast,3105,Greenfield Hall,4
2,museums in the east coast,1227,International Museum of Surgical Science,2
3,museums in the east coast,3650,Yager Museum of Art & Culture,2
4,museums in the east coast,2768,Maritime & Seafood Industry Museum,4
5,museums in the east coast,3189,Shippen Manor Museum,4
6,museums in the east coast,3065,Aviation Hall of Fame and Museum of New Jersey,4
7,museums in the east coast,2151,Chesterwood Estate & Museum,5
8,museums in the east coast,2866,Pony Express Museum,2
9,museums in the east coast,5685,History House of Greater Seattle,1
10,museums in the east coast,3845,Tryon Palace Historic Site & Gardens,4
11,museums in the east coast,3586,Sciencenter,1
12,museums in the east coast,1547,Figge Art Museum,1
13,museums in the east coast,2328,Whaling Museum,5
14,museums in the east coast,3746,Imagination Station Science Museum,1
15,museums in the east coast,3466,Le Roy House,3
16,museums in the east coast,1738,Frazier History Museum,1
17,museums in the east coast,2649,James J. Fiorentino Museum,1
18,museums in the east coast,3329,Buffalo History Museum,3
19,museums in the east coast,5605,Andy Warhol Museum,2
20,museums in the east coast,2127,Beer Can Museum,1
21,museums in the east coast,2799,Walter Anderson Museum of Art,3
22,museums in the east coast,1134,Art Institute of Chicago,2
23,museums in the east coast,3075,Boxwood Hall,4
24,museums in the east coast,3953,Fairport Harbor Marine Museum and Lighthouse,3
25,museums in the east coast,2423,Great Lakes Shipwreck Museum,4
26,museums in the east coast,288,California State Railroad Museum,2
27,museums in the east coast,3211,Whippany Railway Museum,5
28,museums in the east coast,2495,Pewabic Pottery,3
29,museums in the east coast,1163,Chicago Cultural Center,2
30,museums in the east coast,3563,Rochester & Genesee Valley Railroad Museum,3
31,museums in the east coast,1391,Eiteljorg Museum of American Indians and Western Art,2
32,museums in the east coast,1931,Maine Maritime Museum,5
33,museums in the east coast,3367,Dia Beacon,3
34,museums in the east coast,5515,Children's Museum of Atlanta,4
35,museums in the east coast,3435,Hudson River Maritime Museum,5
36,museums in the east coast,55,North Alabama Railroad Museum,2
37,museums in the east coast,2672,Minneapolis Institute of Art,1
38,museums in the east coast,2186,George Walter Vincent Smith Art Museum,4
39,museums in the east coast,342,Aspen Art Museum,1
40,museums in the east coast,2459,Marquette Maritime Museum,3
41,museums in the east coast,5566,"Long Island Museum of American Art, History, and Carriages",5
42,museums in the east coast,2293,Provincetown Art Association and Museum,5
43,museums in the east coast,897,Ripley's Believe It or Not! Museum,2
44,museums in the east coast,5025,Ripley's Believe It or Not!,2
45,museums in the east coast,1102,USS Missouri,1
46,museums in the east coast,1031,Maritime Center at Historic Coast Guard Station,5
47,museums in the east coast,4661,Knoxville Museum of Art,2
48,museums in the east coast,4680,Museum of Salt and Pepper Shakers,2
49,museums in the east coast,5454,National Gallery of Art,5
50,museums in the east coast,3577,Saratoga Automobile Museum,2
51,museums in the east coast,750,Gold Coast Railroad Museum,3
52,museums in the east coast,880,Panama City Center for the Arts,2
53,museums in the east coast,743,Fort Walton Beach Heritage Park & Cultural Center,2
54,museums in the east coast,2733,Warden's House Museum,1
55,museums in the east coast,1106,Boise Art Museum,1
56,museums in the east coast,2916,Western Heritage Center,1
57,museums in the east coast,842,Museum of Arts and Sciences,3
58,museums in the east coast,731,Florida Railroad Museum,3
59,museums in the east coast,3806,North Carolina Museum of Natural Sciences at Whiteville,4
60,museums in the east coast,3802,North Carolina Maritime Museum on Roanoke Island,5
61,museums in the east coast,2435,Icebreaker Mackinaw Maritime Museum,4
62,museums in the east coast,1328,Spurlock Museum,2
63,museums in the east coast,4766,Natural History Museum of Utah,1
64,museums in the east coast,1428,Indiana University East Art Gallery,1
65,museums in the east coast,16,Battleship Memorial Park,2
66,museums in the east coast,1705,Wichita Art Museum,2
67,museums in the east coast,5608,Center for PostNatural History,2
68,museums in the east coast,2197,Harvard Museum of Natural History,5
69,museums in the east coast,35,George Washington Carver Museum,4
70,museums in the east coast,621,Zwaanendael Museum,5
71,museums in the east coast,3370,Dunkirk Lighthouse & Veterans Museum,3
72,museums in the east coast,5458,National Museum of African Art,3
73,museums in the east coast,3725,Harvey B. Gantt Center,2
74,museums in the east coast,4543,Ripley's Believe It or Not!,2
75,museums in the east coast,1634,C.W. Parker Carousel Museum,1
76,museums in the east coast,1274,Mitchell Museum of the American Indian,2
77,museums in the east coast,1197,Field Museum of Natural History,2
78,museums in the east coast,1964,Portland Head Light,5
79,museums in the east coast,1101,USS Arizona Memorial,1
80,museums in the east coast,2088,St. Martin's Episcopal Church Museum,4
81,museums in the east coast,2710,Science Museum of Minnesota,1
82,museums in the east coast,1706,Wichita-Sedgwick County Historical Museum,2
83,museums in the east coast,3659,Alexander-Little Wing,1
84,museums in the east coast,1221,Illinois Railway Museum,2
85,museums in the east coast,5000,Virginia Beach Surf & Rescue Museum,5
86,museums in the east coast,459,Butler-McCook House & Garden,3
87,museums in the east coast,3682,Boggan-Hammond House,1
88,museums in the east coast,1281,Museum of the Grand Prairie,1
89,museums in the east coast,824,Merrill House Museum,3
90,museums in the east coast,3070,Barnegat Lighthouse,5
91,museums in the east coast,2895,Glendive Dinosaur and Fossil Museum,2
92,museums in the east coast,4180,Caleb Pusey House,4
93,museums in the east coast,2585,Bunnell House,2
94,museums in the east coast,2436,Impression 5 Science Center,1
95,museums in the east coast,3716,Graveyard of the Atlantic Museum,5
96,museums in the east coast,3487,Memorial Art Gallery,3
97,museums in the east coast,1170,David Adler Music and Arts Center,1
98,museums in the east coast,2075,Piney Point Light,4
99,museums in the east coast,774,House of Refuge Museum at Gilbert's Bar,3
100,museums in the east coast,5460,National Museum of the American Indian,3
101,museums in the east coast,285,California State Capitol Museum,2
102,museums in the east coast,169,Pioneer Living History Museum,1
103,museums in the east coast,999,Georgia Museum of Art,2
104,museums in the east coast,2306,Salem Maritime National Historic Site,5
105,museums in the east coast,2168,Emily Dickinson Museum,5
106,museums in the east coast,3304,Albany Institute of History & Art,5
107,museums in the east coast,943,Valiant Air Command Warbird Museum,3
108,museums in the east coast,2864,Patee House,2
109,museums in the east coast,473,Custom House Maritime Museum,5
110,museums in the east coast,4500,Halsey Institute of Contemporary Art,1
111,museums in the east coast,1174,Dillon Home Museum,1
112,museums in the east coast,2259,Mount Holyoke College Art Museum,4
113,museums in the east coast,2392,Eagle Harbor Lighthouse and Museums,3
114,museums in the east coast,284,California Museum,1
115,museums in the east coast,3410,Griffis Sculpture Park,1
116,museums in the east coast,3566,Rockwell Museum,4
117,museums in the east coast,1684,Museum of World Treasures,2
118,museums in the east coast,2651,Jasper Museum,1
119,museums in the east coast,3801,North Carolina Maritime Museum at Southport,5
0,in chicago,1417,Howard Steamboat Museum,1
1,in chicago,1229,ISM Chicago Gallery,5
2,in chicago,1135,Arts Club of Chicago,5
3,in chicago,5326,Lynden Sculpture Garden,1
4,in chicago,3407,Graycliff,1
5,in chicago,1170,David Adler Music and Arts Center,5
6,in chicago,385,Limon Heritage Museum and Railroad Park,1
7,in chicago,1334,Ukrainian Institute of Modern Art,5
8,in chicago,1172,Deerfield Historic Village,4
9,in chicago,1526,Boone and Scenic Valley Railroad,1
10,in chicago,1202,Frank Lloyd Wright Home and Studio,5
11,in chicago,1161,Chicago Athenaeum's International Sculpture Park,5
12,in chicago,1638,"Columbian Theatre, Museum & Art Center",1
13,in chicago,1415,Hoosier Valley Railroad Museum,1
